t,x,y,z
0.770000,-0.450649,-0.015909,0.000973
0.775000,-0.453680,-0.016735,0.000976
0.780000,-0.456682,-0.017552,0.000979
0.785000,-0.459653,-0.018361,0.000981
0.790000,-0.462594,-0.019162,0.000983
0.795000,-0.465505,-0.019955,0.000985
0.800000,-0.468385,-0.020739,0.000986
0.805000,-0.471235,-0.021516,0.000988
0.810000,-0.474055,-0.022285,0.000989
0.815000,-0.476845,-0.023045,0.000990
0.820000,-0.479605,-0.023798,0.000991
0.825000,-0.482334,-0.024542,0.000992
0.830000,-0.485034,-0.025278,0.000992
0.835000,-0.487702,-0.026006,0.000993
0.840000,-0.490341,-0.026726,0.000993
0.845000,-0.492950,-0.027438,0.000993
0.850000,-0.495528,-0.028142,0.000993
0.855000,-0.498076,-0.028838,0.000993
0.860000,-0.500594,-0.029525,0.000993
0.865000,-0.503082,-0.030205,0.000993
0.870000,-0.505539,-0.030876,0.000993
0.875000,-0.507967,-0.031540,0.000992
0.880000,-0.510364,-0.032195,0.000992
0.885000,-0.512730,-0.032842,0.000991
0.890000,-0.515067,-0.033481,0.000990
0.895000,-0.517374,-0.034112,0.000990
0.900000,-0.519650,-0.034735,0.000989
0.905000,-0.521896,-0.035350,0.000988
0.910000,-0.524111,-0.035956,0.000988
0.915000,-0.526297,-0.036555,0.000987
0.920000,-0.528452,-0.037145,0.000986
0.925000,-0.530577,-0.037728,0.000985
0.930000,-0.532672,-0.038302,0.000984
0.935000,-0.534737,-0.038868,0.000983
0.940000,-0.536771,-0.039426,0.000982
0.945000,-0.538776,-0.039976,0.000981
0.950000,-0.540750,-0.040518,0.000980
0.955000,-0.542693,-0.041052,0.000979
0.960000,-0.544607,-0.041578,0.000978
0.965000,-0.546490,-0.042095,0.000977
0.970000,-0.548344,-0.042605,0.000976
0.975000,-0.550167,-0.043106,0.000975
0.980000,-0.551962,-0.043623,0.000977
0.985000,-0.553719,-0.044064,0.000975
0.990000,-0.555456,-0.044574,0.000971
0.995000,-0.557174,-0.045170,0.000975
1.000000,-0.558843,-0.045602,0.000988
1.005000,-0.560474,-0.045920,0.000963
1.010000,-0.562073,-0.046213,0.000941
1.015000,-0.563666,-0.046698,0.000919
1.020000,-0.565240,-0.047267,0.000899
1.025000,-0.566773,-0.047729,0.000894
1.030000,-0.568265,-0.048086,0.000869
1.035000,-0.569730,-0.048456,0.000852
1.040000,-0.571172,-0.048880,0.000837
1.045000,-0.572587,-0.049322,0.000824
1.050000,-0.573960,-0.049654,0.000810
1.055000,-0.575310,-0.050044,0.000795
1.060000,-0.576629,-0.050413,0.000783
1.065000,-0.577917,-0.050771,0.000771
1.070000,-0.579175,-0.051121,0.000762
1.075000,-0.580403,-0.051463,0.000753
1.080000,-0.581600,-0.051797,0.000745
1.085000,-0.582767,-0.052123,0.000739
1.090000,-0.583905,-0.052440,0.000733
1.095000,-0.585011,-0.052750,0.000729
1.100000,-0.586088,-0.053051,0.000725
1.105000,-0.587135,-0.053345,0.000721
1.110000,-0.588151,-0.053630,0.000719
1.115000,-0.589137,-0.053907,0.000717
1.120000,-0.590093,-0.054176,0.000715
1.125000,-0.591019,-0.054437,0.000714
1.130000,-0.591914,-0.054690,0.000713
1.135000,-0.592779,-0.054935,0.000712
1.140000,-0.593614,-0.055171,0.000711
1.145000,-0.594419,-0.055400,0.000711
1.150000,-0.595194,-0.055621,0.000711
1.155000,-0.595938,-0.055833,0.000711
1.160000,-0.596652,-0.056037,0.000711
1.165000,-0.597336,-0.056234,0.000711
1.170000,-0.597990,-0.056422,0.000712
1.175000,-0.598613,-0.056602,0.000712
