t,x,y,z,s_along_slope,penetration_est
0.085000,-0.702551,0.080011,-0.000000,-0.002551,0.000011
0.086000,-0.702606,0.080011,-0.000000,-0.002606,0.000011
0.087000,-0.702662,0.080011,-0.000000,-0.002662,0.000011
0.088000,-0.702719,0.080011,-0.000000,-0.002719,0.000011
0.089000,-0.702776,0.080011,-0.000000,-0.002776,0.000011
0.090000,-0.702834,0.080012,-0.000000,-0.002834,0.000012
0.091000,-0.702893,0.080012,-0.000000,-0.002893,0.000012
0.092000,-0.702952,0.080012,-0.000000,-0.002952,0.000012
0.093000,-0.703012,0.080012,-0.000000,-0.003012,0.000012
0.094000,-0.703072,0.080012,-0.000000,-0.003072,0.000012
0.095000,-0.703134,0.080012,-0.000000,-0.003134,0.000012
0.096000,-0.703195,0.080012,-0.000000,-0.003195,0.000012
0.097000,-0.703258,0.080012,-0.000000,-0.003258,0.000012
0.098000,-0.703321,0.080013,-0.000000,-0.003321,0.000013
0.099000,-0.703385,0.080013,-0.000000,-0.003385,0.000013
0.100000,-0.703449,0.080013,-0.000000,-0.003449,0.000013
0.101000,-0.703514,0.080013,-0.000000,-0.003514,0.000013
0.102000,-0.703580,0.080013,-0.000000,-0.003580,0.000013
0.103000,-0.703646,0.080013,-0.000000,-0.003646,0.000013
0.104000,-0.703713,0.080013,-0.000000,-0.003713,0.000013
0.105000,-0.703780,0.080014,-0.000000,-0.003780,0.000014
0.106000,-0.703849,0.080014,-0.000000,-0.003849,0.000014
0.107000,-0.703918,0.080014,-0.000000,-0.003918,0.000014
0.108000,-0.703987,0.080014,-0.000000,-0.003987,0.000014
0.109000,-0.704057,0.080014,-0.000000,-0.004057,0.000014
0.110000,-0.704128,0.080014,-0.000000,-0.004128,0.000014
0.111000,-0.704199,0.080014,-0.000000,-0.004199,0.000014
0.112000,-0.704272,0.080014,-0.000000,-0.004272,0.000014
0.113000,-0.704344,0.080015,-0.000000,-0.004344,0.000015
0.114000,-0.704418,0.080015,-0.000000,-0.004418,0.000015
0.115000,-0.704492,0.080015,-0.000000,-0.004492,0.000015
0.116000,-0.704566,0.080015,-0.000000,-0.004566,0.000015
0.117000,-0.704642,0.080015,-0.000000,-0.004642,0.000015
0.118000,-0.704718,0.080015,-0.000000,-0.004718,0.000015
0.119000,-0.704794,0.080015,-0.000000,-0.004794,0.000015
0.120000,-0.704871,0.080015,-0.000000,-0.004871,0.000015
0.121000,-0.704949,0.080016,-0.000000,-0.004949,0.000016
0.122000,-0.705028,0.080016,-0.000000,-0.005028,0.000016
0.123000,-0.705107,0.080016,-0.000000,-0.005107,0.000016
0.124000,-0.705187,0.080016,-0.000000,-0.005187,0.000016
0.125000,-0.705267,0.080016,-0.000000,-0.005267,0.000016
0.126000,-0.705348,0.080016,-0.000000,-0.005348,0.000016
0.127000,-0.705430,0.080016,-0.000000,-0.005430,0.000016
0.128000,-0.705512,0.080016,-0.000000,-0.005512,0.000016
0.129000,-0.705596,0.080017,-0.000000,-0.005596,0.000017
0.130000,-0.705679,0.080017,-0.000000,-0.005679,0.000017
0.131000,-0.705764,0.080017,-0.000000,-0.005764,0.000017
0.132000,-0.705848,0.080017,-0.000000,-0.005848,0.000017
0.133000,-0.705934,0.080017,-0.000000,-0.005934,0.000017
0.134000,-0.706020,0.080017,-0.000000,-0.006020,0.000017
0.135000,-0.706107,0.080017,-0.000000,-0.006107,0.000017
0.136000,-0.706195,0.080018,-0.000000,-0.006195,0.000018
0.137000,-0.706283,0.080018,-0.000000,-0.006283,0.000018
0.138000,-0.706372,0.080018,-0.000000,-0.006372,0.000018
0.139000,-0.706461,0.080018,-0.000000,-0.006461,0.000018
0.140000,-0.706551,0.080018,-0.000000,-0.006551,0.000018
0.141000,-0.706642,0.080018,-0.000000,-0.006642,0.000018
0.142000,-0.706734,0.080018,-0.000000,-0.006734,0.000018
0.143000,-0.706826,0.080018,-0.000000,-0.006826,0.000018
0.144000,-0.706918,0.080019,-0.000000,-0.006918,0.000019
0.145000,-0.707012,0.080019,-0.000000,-0.007012,0.000019
0.146000,-0.707106,0.080019,-0.000000,-0.007106,0.000019
0.147000,-0.707200,0.080019,-0.000000,-0.007200,0.000019
0.148000,-0.707295,0.080019,-0.000000,-0.007295,0.000019
0.149000,-0.707391,0.080019,-0.000000,-0.007391,0.000019
0.150000,-0.707488,0.080019,-0.000000,-0.007488,0.000019
0.151000,-0.707585,0.080019,-0.000000,-0.007585,0.000019
0.152000,-0.707683,0.080020,-0.000000,-0.007683,0.000020
0.153000,-0.707781,0.080020,-0.000000,-0.007781,0.000020
0.154000,-0.707881,0.080020,-0.000000,-0.007881,0.000020
0.155000,-0.707980,0.080020,-0.000000,-0.007980,0.000020
0.156000,-0.708081,0.080020,-0.000000,-0.008081,0.000020
0.157000,-0.708182,0.080020,-0.000000,-0.008182,0.000020
0.158000,-0.708284,0.080020,-0.000000,-0.008284,0.000020
0.159000,-0.708386,0.080020,-0.000000,-0.008386,0.000020
0.160000,-0.708489,0.080021,-0.000000,-0.008489,0.000021
0.161000,-0.708593,0.080021,-0.000000,-0.008593,0.000021
0.162000,-0.708697,0.080021,-0.000000,-0.008697,0.000021
0.163000,-0.708802,0.080021,-0.000000,-0.008802,0.000021
0.164000,-0.708907,0.080021,-0.000000,-0.008907,0.000021
0.165000,-0.709014,0.080021,-0.000000,-0.009014,0.000021
0.166000,-0.709120,0.080021,-0.000000,-0.009120,0.000021
0.167000,-0.709228,0.080021,-0.000000,-0.009228,0.000021
0.168000,-0.709336,0.080022,-0.000000,-0.009336,0.000022
0.169000,-0.709445,0.080022,-0.000000,-0.009445,0.000022
0.170000,-0.709554,0.080022,-0.000000,-0.009554,0.000022
0.171000,-0.709664,0.080022,-0.000000,-0.009664,0.000022
0.172000,-0.709775,0.080022,-0.000000,-0.009775,0.000022
0.173000,-0.709886,0.080022,-0.000000,-0.009886,0.000022
0.174000,-0.709998,0.080022,-0.000000,-0.009998,0.000022
0.175000,-0.710111,0.080023,-0.000000,-0.010111,0.000023
0.176000,-0.710224,0.080023,-0.000000,-0.010224,0.000023
0.177000,-0.710338,0.080023,-0.000000,-0.010338,0.000023
0.178000,-0.710453,0.080023,-0.000000,-0.010453,0.000023
0.179000,-0.710568,0.080023,-0.000000,-0.010568,0.000023
0.180000,-0.710684,0.080023,-0.000000,-0.010684,0.000023
0.181000,-0.710800,0.080023,-0.000000,-0.010800,0.000023
0.182000,-0.710918,0.080023,-0.000000,-0.010918,0.000023
0.183000,-0.711035,0.080024,-0.000000,-0.011035,0.000024
0.184000,-0.711154,0.080024,-0.000000,-0.011154,0.000024
0.185000,-0.711273,0.080024,-0.000000,-0.011273,0.000024
0.186000,-0.711393,0.080024,-0.000000,-0.011393,0.000024
0.187000,-0.711513,0.080024,-0.000000,-0.011513,0.000024
0.188000,-0.711634,0.080024,-0.000000,-0.011634,0.000024
0.189000,-0.711756,0.080024,-0.000000,-0.011756,0.000024
0.190000,-0.711878,0.080024,-0.000000,-0.011878,0.000024
0.191000,-0.712001,0.080025,-0.000000,-0.012001,0.000025
0.192000,-0.712125,0.080025,-0.000000,-0.012125,0.000025
0.193000,-0.712249,0.080025,-0.000000,-0.012249,0.000025
0.194000,-0.712374,0.080025,-0.000000,-0.012374,0.000025
0.195000,-0.712499,0.080025,-0.000000,-0.012499,0.000025
0.196000,-0.712625,0.080025,-0.000000,-0.012625,0.000025
0.197000,-0.712752,0.080025,-0.000000,-0.012752,0.000025
0.198000,-0.712880,0.080025,-0.000000,-0.012880,0.000025
0.199000,-0.713008,0.080026,-0.000000,-0.013008,0.000026
0.200000,-0.713137,0.080026,-0.000000,-0.013137,0.000026
0.201000,-0.713266,0.080026,-0.000000,-0.013266,0.000026
0.202000,-0.713396,0.080026,-0.000000,-0.013396,0.000026
0.203000,-0.713527,0.080026,-0.000000,-0.013527,0.000026
0.204000,-0.713658,0.080026,-0.000000,-0.013658,0.000026
0.205000,-0.713790,0.080026,-0.000000,-0.013790,0.000026
0.206000,-0.713923,0.080027,-0.000000,-0.013923,0.000027
0.207000,-0.714056,0.080027,-0.000000,-0.014056,0.000027
0.208000,-0.714190,0.080027,-0.000000,-0.014190,0.000027
0.209000,-0.714324,0.080027,-0.000000,-0.014324,0.000027
0.210000,-0.714459,0.080027,-0.000000,-0.014459,0.000027
0.211000,-0.714595,0.080027,-0.000000,-0.014595,0.000027
0.212000,-0.714732,0.080027,-0.000000,-0.014732,0.000027
0.213000,-0.714869,0.080027,-0.000000,-0.014869,0.000027
0.214000,-0.715007,0.080028,-0.000000,-0.015007,0.000028
0.215000,-0.715145,0.080028,-0.000000,-0.015145,0.000028
0.216000,-0.715284,0.080028,-0.000000,-0.015284,0.000028
0.217000,-0.715424,0.080028,-0.000000,-0.015424,0.000028
0.218000,-0.715564,0.080028,-0.000000,-0.015564,0.000028
0.219000,-0.715705,0.080028,-0.000000,-0.015705,0.000028
0.220000,-0.715847,0.080028,-0.000000,-0.015847,0.000028
